/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) Y
0.9120000000000005,0.0001448507339792003,0.9120000000000005,8.897010160036417e-06,0.9120000000000005,0.002223026259084071,0.9120000000000005,1.799634191802984e-05,0.9120000000000005,0.001790850311746939
0.9360000000000005,7.466411174616063e-05,0.9360000000000005,4.422128759461437e-06,0.9360000000000005,0.001227139312777214,0.9360000000000005,1.389751303279002e-05,0.9360000000000005,0.001017155818983984
0.9600000000000005,3.866033380228967e-05,0.9600000000000005,2.236287554133154e-06,0.9600000000000005,0.0006493621504087506,0.9600000000000005,1.173906066611183e-05,0.9600000000000005,0.0005527991948518847
0.9840000000000005,2.035489666615432e-05,0.9840000000000005,1.166950893602456e-06,0.9840000000000005,0.0003335733040465986,0.9840000000000005,1.05627455993601e-05,0.9840000000000005,0.0002933422395112385
1.008,1.109362776432097e-05,1.008,6.425870676527189e-07,1.008,0.0001681760034342359,1.008,9.885001604853811e-06,1.008,0.000155833512836472
1.032,6.417418054206397e-06,1.032,3.844590557687843e-07,1.032,8.385786389227483e-05,1.032,9.462302611961782e-06,1.032,8.537200183008695e-05
1.056,4.054331792359793e-06,1.056,2.565297655826986e-07,1.056,4.15699800308969e-05,1.056,9.172059973624062e-06,1.056,4.996108364689772e-05
1.080000000000001,2.854760888145655e-06,1.080000000000001,1.923586992766323e-07,1.080000000000001,2.057020429890149e-05,1.080000000000001,8.952476902706965e-06,1.080000000000001,3.233411699992902e-05
1.104000000000001,2.239524921606669e-06,1.104000000000001,1.594738158469689e-07,1.104000000000001,1.020552660499889e-05,1.104000000000001,8.7722764153036e-06,1.104000000000001,2.357322338659262e-05
1.128000000000001,1.91765355419683e-06,1.128000000000001,1.41993503421704e-07,1.128000000000001,5.109687440041318e-06,1.128000000000001,8.615498485489216e-06,1.128000000000001,1.918684464223079e-05
1.152000000000001,1.743242416370581e-06,1.152000000000001,1.321437145930695e-07,1.152000000000001,2.610384936380573e-06,1.152000000000001,8.473876263513305e-06,1.152000000000001,1.694623493084865e-05
1.176000000000001,1.643216737088851e-06,1.176000000000001,1.261144921431737e-07,1.176000000000001,1.386206129698453e-06,1.176000000000001,8.343016436168535e-06,1.176000000000001,1.575558115051853e-05
1.2,1.580997924126144e-06,1.2,1.220346430234429e-07,1.2,7.86686655284642e-07,1.2,8.220485584254485e-06,1.2,1.507924197090125e-05
